folder name,yt link,status
@lethologicaman,https://www.youtube.com/@lethologicaman/shorts,
@KataFaktaa17,https://www.youtube.com/@KataFaktaa17/shorts,
@Intelektualia,https://www.youtube.com/@Intelektualia/shorts,
@biartau10,https://www.youtube.com/@biartau10/shorts,
@TigaFakta.,https://www.youtube.com/@TigaFakta./shorts,
@PapaverSomnivera,https://www.youtube.com/@PapaverSomnivera/shorts,
@DeanChannel1,https://www.youtube.com/@DeanChannel1/shorts,
@haritsah_p,https://www.youtube.com/@haritsah_p/shorts,
@IndoHarmony,https://www.youtube.com/@IndoHarmony/shorts,
@oneinsightofficial,https://www.youtube.com/@oneinsightofficial/shorts,
@TemaIndonesiaProduction,https://www.youtube.com/@TemaIndonesiaProduction/shorts,
@talkpod_net,https://www.youtube.com/@talkpod_net/shorts,
@AdaProject.,https://www.youtube.com/@AdaProject./shorts,
@podcast_indonesia,https://www.youtube.com/@podcast_indonesia/shorts,
@Laztpod,https://www.youtube.com/@Laztpod/shorts,
@radityadika,https://www.youtube.com/@radityadika/shorts,
@StandUpKompasTV,https://www.youtube.com/@StandUpKompasTV/shorts,
@deandeankt,https://www.youtube.com/@deandeankt/shorts,
@akuketemu,https://www.youtube.com/@akuketemu/shorts,
@Declips.,https://www.youtube.com/@Declips./shorts,
@gbiyel,https://www.youtube.com/@gbiyel/shorts,
@Botiann,https://www.youtube.com/@Botiann/shorts,
@ToreruMomen,https://www.youtube.com/@ToreruMomen/shorts,
@raihan_channel,https://www.youtube.com/@raihan_channel/shorts,
@JOATMotivaton,https://www.youtube.com/@JOATMotivaton/shorts,
@fry_zql,https://www.youtube.com/@fry_zql/shorts,
@hoshidblitz86,https://www.youtube.com/@hoshidblitz86/shorts,
@BangBoeng,https://www.youtube.com/@BangBoeng/shorts,
@bociledge8183,https://www.youtube.com/@bociledge8183/shorts,
@david_yt2,https://www.youtube.com/@david_yt2/shorts,
@Meniryansen1995,https://www.youtube.com/@Meniryansen1995/shorts,
@fauzichannelexe,https://www.youtube.com/@fauzichannelexe/shorts,
@TRANS7Official,https://www.youtube.com/@TRANS7Official/shorts,
@VINDES,https://www.youtube.com/@VINDES/shorts,
@TonightShowNet,https://www.youtube.com/@TonightShowNet/shorts,
@yhofficial_,https://www.youtube.com/@yhofficial_/shorts,
@sakervip,https://www.youtube.com/@sakervip/shorts,
@Pammalonagroup,https://www.youtube.com/@Pammalonagroup/shorts,
